#,Internal Name,Name,Phone,Fax,After Hrs Phone,Address,City,County,State,Zip,Operations Manager,Operations Manager2,Kids' Dentistry OM,RM,RD,SRM,SRM,SRM,SRD,SRD,RP/RVP,TP,Region Name,Professional Corporation,Tax ID,Open Date,Epic Go Live Date
21,Lake Forest,Lake Forest Dental Group,(949)770-9355,(949)770-9356,(949)740-1659,"23704 El Toro Rd, Ste A",Lake Forest,Orange,CA,92630,Nicole Saldana,,,Analisa Hudson,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,McMurray Dental Corporation,33-0819873,2/1/1999,7/11/2022
22,Victorville,Desert Valley Dental Group,(760)245-2010,(760)245-8934,(760)866-1380,"13792 Bear Valley Rd, Ste 1",Victorville,San Bernardino,CA,92392,Melanie Castro,,,Jessica Quintero,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Kenneth Leong Dental Corporation,33-0843444,4/30/1999,6/6/2022
23,Yucaipa,Imperial Dental Practice,(909)797-1136,(909)797-9866,(909)221-5305,34880 Yucaipa Blvd,Yucaipa,San Bernardino,CA,92399,Olga Gutierrez,,,Chamath Siriwardena,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Leng and Chokka Dental Corporation,33-0842158,5/3/1999,7/11/2022
24,Camarillo,Camarillo Dental Group,(805)388-9110,(805)987-5140,(805)216-5104,"2380 E Las Posas Rd, Ste A",Camarillo,Ventura,CA,93010,,Rhiann Komatsu,Serena Montano,Lawrence Craft,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Giselle Mar Dental Corporation,77-0505368,4/26/1999,6/6/2022
25,Murrieta,Murrieta Dental Group,(951)677-3078,(951)600-0498,(951)461-7768,40760 California Oaks Rd,Murrieta,Riverside,CA,92562,Sandra Rodriguez,,,Theresa Ortega-Gomez,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Tran Watanabe and Walker Dental Corporation,88-3199503,7/13/1999,6/6/2022
26,Rancho SM,Rancho Dental Group,(949)766-5740,(949)766-6506,(949)737-8659,"30592 Santa Margarita Pkwy, Ste D",Rancho Santa Margarita,Orange,CA,92688,Kenyi Vargas,,,Analisa Hudson,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Reagan Dental Corporation,33-0863140,8/11/1999,7/11/2022
27,La Canada Flintridge,La Canada Smiles Dentistry,(818)248-1021,(818)248-1322,,"2220 Foothill Blvd, Ste A",La Canada Flintridge,Los Angeles,CA,91011,,Claudia Duarte,,,Katherine Novales,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Oktanyan Dental Corporation,46-2950135,9/4/2013,5/3/2021
28,Hemet,Hemet Dental Group,(951)658-9980,(951)929-0541,(951)929-0174,4000 W Florida Ave,Hemet,Riverside,CA,92545,Lucia Juarez,,Lucia Juarez,Karlee Bell,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,"Lee, Watanabe and Nosti Dental Corporation",20-1783485,6/2/2005,6/6/2022
30,Santa Clarita,Canyon Country Dental Group,(661)251-2002,(661)251-2024,(661)637-4813,26877 Sierra Hwy,Santa Clarita,Los Angeles,CA,91321,Ligia Romero,,,Rebecca Stogden,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Terri Nguyen Dental Corporation,20-0286568,1/27/2004,4/4/2022
31,Bakersfield,Bakersfield Dental Group,(661)324-5442,(661)324-5445,(661)260-0973,"5120 Stockdale Hwy, Ste D",Bakersfield,Kern,CA,93309,Trace Fortner,,,Paula Smith,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Linda Bang Dental Corporation,20-0377582,1/22/2004,1/10/2022
32,Huntington Beach 2,Beach Dental Group,(714)968-4907,(714)968-6260,(714)324-7445,"9842 Adams Ave, Ste 106",Huntington Beach,Orange,CA,92646,Renee Perez,,,Jerry Meza,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Magar and Sharifian Dental Corporation,45-2449446,3/29/2004,5/3/2021
33,San Marcos,San Marcos Dental Group,(760)746-2045,(760)746-2033,(760)229-0072,"709 Center Dr, Ste 101",San Marcos,San Diego,CA,92069,Maegan Gerrish,,,Heather Dickerhoff,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Nosti and Reagan Dental Corporation,20-0917538,5/11/2004,9/7/2021
34,Eastvale,Gateway Dental Group,(951)360-3444,(951)360-3484,(909)693-6531,"12571 Limonite Ave, Ste 230",Eastvale,Riverside,CA,91752,Tawny Garcia,,,Minerva Calles,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Dimitri Dental Corporation,20-1308475,11/30/2004,4/4/2022
35,Bakersfield 2,River Lakes Dental Group,(661)829-2700,(661)829-2770,,"9510 Hageman Rd, Ste B",Bakersfield,Kern,CA,93312,Anita Martinez,,,Paula Smith,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Huynh and Watanabe Dental Corporation,20-1783257,12/10/2004,6/6/2022
36,Oceanside 3,Quarry Creek Dental Group,(760)730-1303,(760)730-1393,(760)730-3093,"3430 Marron Rd, Ste 300",Oceanside,San Diego,CA,92056,Tamara Sparks,,,Kevin Skinner,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Murayama Dental Corporation,20-1868335,1/5/2005,1/10/2022
37,Burbank,Empire Dental Group,(818)565-0057,(818)565-0047,,1635 N Victory Pl,Burbank,Los Angeles,CA,91502,Melissa Ramirez,,,,Katherine Novales,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Elie Dental Corporation,20-1868419,3/8/2005,1/10/2022
38,Riverside 5,Grove Dental Group,(951)776-1330,(951)776-1388,(951)776-2995,"8715 Trautwein Rd, Ste A",Riverside,Riverside,CA,92508,Amy Ho,,Amy Ho,Melanie Smith,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Watanabe and Won Dental Corporation,20-3397598,11/28/2005,4/4/2022
39,Simi Valley 2,Simi Valley Smiles Dentistry,(805)522-5516,(805)578-9079,,"2650 Tapo Canyon Rd, Ste 107",Simi Valley,Ventura,CA,93063,Mahnaz Tavakoli,,,,Katherine Novales,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Katayoun Setareh Dental Corporation,26-4428996,4/14/2009,7/6/2021
40,Wildomar 2,Bear Creek Dental Group,(951)678-0790,(951)678-0796,(951)678-8054,"36068 Hidden Springs Rd, Ste H",Wildomar,Riverside,CA,92595,Jamie Frega,,,Nichole Ball,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Do-Yabut and Sanders Dental Corporation,20-1868462,2/14/2005,10/4/2021
41,Murrieta 3,East Murrieta Dental Group,(951)304-1348,(951)304-1357,(951)600-8200,"39209 Winchester Rd, Ste 100",Murrieta,Riverside,CA,92563,Ryan Markham,,,Theresa Ortega-Gomez,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Watanabe and Espeleta Professional Dental Corporation,20-2643349,8/9/2005,1/10/2022
42,Castaic,Hasley Canyon Dental Group,(661)702-8338,(661)702-8668,(661)702-6941,29655 The Old Rd,Castaic,Los Angeles,CA,91384,Shelbi Stump,Ligia Romero,,Rebecca Stogden,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Kedia and Watanabe Dental Corporation,20-1781675,1/6/2005,6/6/2022
43,Fontana,Triangle Dental Group,(909)355-1700,(909)355-1707,,14305 Baseline Ave,Fontana,San Bernardino,CA,92336,Monica Quevedo,,,Lupe Santos,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Leng and Jefferson Dental Corporation,20-2821478,9/15/2005,6/6/2022
44,Tierrasanta,Tierrasanta Dental Group,(858)492-9300,(858)492-9332,(858)492-0931,10405 Tierrasanta Blvd,San Diego,San Diego,CA,92124,Leticia Reyes,,,Bianca Ireland,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Habashi Dental Corporation,20-2743030,7/6/2005,7/11/2022
45,Simi Valley 3,First Street Dental Group,(805)583-5700,(805)583-5775,,"1197 E Los Angeles Ave, Ste E",Simi Valley,Ventura,CA,93065,Maria Guerrero,,,Alex Ranu,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Magdos and Setareh Dental Corporation,20-2821736,6/29/2005,6/6/2022
46,Murrieta 4,My Kid's Dentist,(951)600-1062,(951)600-1476,,"24635 Madison Ave, Ste E",Murrieta,Riverside,CA,92562,,,,Nichole Ball,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Kim and Watanabe Dental Corporation,20-3065295,8/31/2005,7/13/2020
47,Valencia 3,Valencia Dental Group,(661)607-0202,(661)607-0303,(661)260-0061,28134 Newhall Ranch Rd,Valencia,Los Angeles,CA,91355,Jasmine Fragoso,,,Rebecca Stogden,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Safarkoolan Dental Corporation,20-4959933,7/25/2006,11/2/2020
48,Moreno Valley,Canyon Springs Dental Group,(951)571-0011,(951)571-0012,(951)571-0034,"2878 Campus Pkwy, Ste 1",Riverside,Riverside,CA,92507,Melissa Rosenzweig,,Melissa Rosenzweig,Kimberly Orozco,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Penaflorida Dental Corporation,20-3947899,2/20/2006,7/11/2022
49,Corona 3,Main Street Dental Group,(951)898-9700,(951)898-9779,,"131 W Ontario Ave, Ste 102",Corona,Riverside,CA,92882,Cecilia Vasquez,Jessica Maldonado,Cecilia Vasquez,Melanie Smith,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Dental Corporation of Deepika Dhama,20-3036625,8/15/2005,7/6/2021
51,Palm Desert,Desert Crossing Dental Group,(760)674-9666,(760)674-8876,(760)229-0720,"72-333 Hwy 111, Ste B",Palm Desert,Riverside,CA,92260,Jada Clavijo,,,Indira Abaza,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Lee and Woo Dental Corporation,52-2248400,8/16/2000,7/1/2020
52,Riverside 3,Arlington Dental Group,(951)683-6055,(951)683-5819,(951)424-0868,"3297 Arlington Ave, Ste 101",Riverside,Riverside,CA,92506,Elena Marohn,Amy Ho,,Melanie Smith,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Nguyen and Watanabe Dental Corporation,52-2223524,4/3/2000,6/6/2022
53,Laguna Beach,Dentists of Dana Point,(949)415-1020,(949)415-1030,(949)499-0621,"33611 Del Obispo St, Ste E",Dana Point,Orange,CA,92629,Cheyenne Tweed,Karlene Belani,,Analisa Hudson,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Taherian Dental Corporation,52-2211052,3/23/2000,7/6/2021
54,Temecula 1,Temecula Dental Practice,(951)699-2144,(951)506-4040,(951)693-8299,"29560 Rancho California Rd, Ste 100",Temecula,Riverside,CA,92591,Andrea Goode,,,Theresa Ortega-Gomez,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Walker and Watanabe Dental Corporation,52-2228282,5/10/2000,4/4/2022
55,Tustin,Tustin Dental Office,(714)368-1400,(714)368-1411,,"13721 Newport Ave, Ste 1",Tustin,Orange,CA,92780,Michele Ramirez,,,Megan Detrick,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Sharifian Dental Corporation,52-2239042,8/1/2000,4/4/2022
56,Anaheim Hills,Anaheim Hills Dental Group,(714)998-2956,(714)998-7331,,"5731 E Santa Ana Canyon Rd, Ste A",Anaheim,Orange,CA,92807,John Tran,John Tran,Adriana Gonzalez,Analisa Hudson,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Najafi and Rodgers Dental Corporation,33-0942247,2/22/2001,2/7/2022
57,Visalia 3,Dentists of Visalia,(559)478-2511,(559)388-5633,,"827 S Akers St, Ste 104",Visalia,Tulare,CA,93277,,,,Nicole McGovran,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Central Valley Region,"Bevan S. Fareid, D.D.S.",87-4221994,3/15/2022,3/14/2022
58,Laguna Niguel,Laguna Niguel Dental Group,(949)389-9195,(949)389-9993,(949)740-1748,"27901 La Paz Rd, Ste D",Laguna Niguel,Orange,CA,92677,,Karlene Belani,,Analisa Hudson,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Taherian and Sharifian Dental Corporation,33-0942223,4/3/2001,4/4/2022
59,Chino Hills 1,Chino Hills Dental Group,(909)364-0027,(909)364-0061,(909)364-9216,"3410 Grand Ave, Ste F",Chino Hills,San Bernardino,CA,91709,,Gloria Hernandez,,Lupe Santos,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Gill and Sambangi Dental Corporation,33-0958384,7/17/2001,7/11/2022
60,San Diego 11,College Avenue Dentistry,(619)398-0624,(619)399-3714,,"4585 College Ave, Ste B",San Diego,San Diego,CA,92115,Andrew Faris,,,Heather Dickerhoff,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Taraporewalla Dental Corporation,88-2249842,9/13/2022,9/12/2022
61,Hesperia 2,Desert Valley Dental Group,(760)244-2625,(760)244-2539,(760)883-3024,16868 Main St,Hesperia,San Bernardino,CA,92345,Linda Svastits,,,Jessica Quintero,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Chokka and Sambangi Dental Corporation,83-3773909,7/24/2001,4/4/2022
62,Rancho Cucamonga,N. Rancho Cucamonga Dental Group,(909)581-0888,(909)581-1977,(909)604-4045,10797 Foothill Blvd,Rancho Cucamonga,San Bernardino,CA,91730,Melissa Nordahl,,,,Linda Mata-Icart,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Ghazal Dental Corporation,33-0958380,7/30/2001,4/4/2022
63,Henderson 10,Dentists of West Henderson,(702)803-1275,(702)800-6511,,"3531 Volunteer Blvd, Ste 120",Henderson,Clark,NV,89044,Krista Wink,,,Katie Rahn,,Mechelle Quinories,Tiffany Magana,Nichelle Venable,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,"Tang Dentists of West Henderson, PC",88-2254151,5/2/2023,5/1/2023
64,La Quinta,La Quinta Dental Group,(760)771-0300,(760)771-0420,(951)764-3837,"78-595 Hwy 111, Ste 300",La Quinta,Riverside,CA,92253,Vanessa Mora,,,Indira Abaza,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Cheung Dental Corporation,33-0979403,12/6/2001,4/4/2022
67,Pacific Beach,PB Smiles Dentistry,(858)866-0808,(858)866-0404,,"1975 Garnet Ave, Ste E",San Diego,San Diego,CA,92109,Stephan Sena,,,Bianca Ireland,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Nosti and Pham Dental Corporation,47-1382393,10/7/2014,1/10/2022
68,Murrieta 2,Murrieta Dental Group,(951)696-5660,(951)696-5632,(951)693-8461,"25395 Madison Ave, Ste 103",Murrieta,Riverside,CA,92562,Theresa Ortega-Gomez,,,Theresa Ortega-Gomez,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Watanabe Dental Corporation,33-0863139,3/25/2002,6/6/2022
69,Wildomar,Clinton Keith Dental Group,(951)304-9700,(951)304-9711,(951)693-8461,"23905 Clinton Keith Rd, Ste 108",Wildomar,Riverside,CA,92595,,,,Nichole Ball,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Diana Do-Yabut and Tyler Sanders Dental Corporation,20-1795401,6/6/2002,7/6/2021
70,San Clemente,San Clemente Dental Group,(949)366-9555,(949)366-9181,(949)657-1581,"943 Avenida Pico, Ste A",San Clemente,Orange,CA,92673,Giovanny Guerrero,,,Analisa Hudson,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Buehler and Reagan Dental Corporation,06-1641372,11/5/2002,7/11/2022
71,Huntington Beach,Beach Dental Group,(714)593-1010,(714)593-2560,(714)324-5795,"19720 Beach Blvd, Ste A",Huntington Beach,Orange,CA,92648,Kasey Young,,,Jerry Meza,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,"Alex R. Sharifian, D.D.S., Inc.",04-3665603,6/12/2002,7/11/2022
72,Oceanside,College Dental Group,(760)631-3060,(760)631-0645,(760)883-3783,"467 College Blvd, Ste 2",Oceanside,San Diego,CA,92057,,Nargess Askar,,Kevin Skinner,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Rogers and Reagan Dental Corporation,48-1262852,10/1/2002,7/11/2022
73,Corona 2,South Corona Dental Group,(951)273-0370,(951)273-0375,(951)221-5073,"1312 E Ontario Ave, Ste 102",Corona,Riverside,CA,92881,Bonnie Simpson,,,Melanie Smith,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Dhama and Kadakia Dental Corporation,06-1641366,9/16/2002,2/1/2021
74,Redlands,Redlands Dental Group,(909)792-7500,(909)792-7503,(909)221-4568,422 Orange St,Redlands,San Bernardino,CA,92374,Karyn Rodriguez,,,Chamath Siriwardena,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Jackson Dental Corporation,75-3074597,10/10/2002,7/11/2022
75,Rialto,Rialto Dental Group,(909)421-2225,(909)421-2099,,1629 S Riverside Ave,Rialto,San Bernardino,CA,92376,Maria Velazquez,,,Lupe Santos,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Nada Hanna Dental Corporation,03-0477150,10/29/2002,4/4/2022
76,Temecula 2,Pacific Dental Group,(951)694-5255,(951)694-5103,(951)693-8709,"31754 Temecula Pkwy, Ste E",Temecula,Riverside,CA,92592,Martha Nuno,,,Theresa Ortega-Gomez,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Aldaz and Watanabe Dental Corporation,20-4184405,3/13/2003,1/10/2022
78,Menifee,Menifee Dental Group,(951)679-1667,(951)679-8664,(951)679-1667,"29950 Haun Rd, Ste 302",Menifee,Riverside,CA,92586,Regina Yanez,,Regina Yanez,Erica Stapleton,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Carolyn Ghazal and John Nosti Dental Corporation,26-4309611,4/30/2003,7/6/2021
80,Simi Valley,Simi Valley Dental Group,(805)522-2600,(805)522-2683,(805)339-6762,"3013 Cochran St, Ste D",Simi Valley,Ventura,CA,93065,Teri Avron,,,Alex Ranu,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Gogiltan-Waxler and Setareh Dental Corporation,20-4184647,4/7/2003,9/7/2021
81,Thousand Oaks,Thousand Oaks Dental Group,(805)493-5200,(805)493-5205,(805)339-7834,"1760 E Avenida de los Arboles, Ste A",Thousand Oaks,Ventura,CA,91362,Stacie Lee,,,Lawrence Craft,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Lambridis and Ghaffarzadegan Dental Corporation,56-2321616,4/9/2003,4/4/2022
82,Santee,Town Center Dental Group,(619)596-1600,(619)596-1680,(619)580-6518,"9862 Mission Gorge Rd, Ste E",Santee,San Diego,CA,92071,Nicole Messina,,,Matthew Rich,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Rygg Dental Corporation,87-0690293,4/23/2003,6/6/2022
83,Vista,Vista Dental Group,(760)758-7580,(760)758-1995,(619)580-6518,"435 S Melrose Dr, Ste 105",Vista,San Diego,CA,92081,Ana C,,,Kevin Skinner,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Rodgers and Do Dental Corporation,20-1178061,5/19/2003,9/7/2021
84,Valencia,Valencia Dental Group,(661)288-0288,(661)286-9925,(760)229-0694,24218 Valencia Blvd,Valencia,Los Angeles,CA,91355,Fiorella DeLorenzo,,,Rebecca Stogden,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Elie Professional Dental Corporation,57-1166646,9/25/2003,6/6/2022
85,La Verne,La Verne Dental Group,(909)392-3899,(909)392-1133,(661)394-3864,2216 Foothill Blvd,La Verne,Los Angeles,CA,91750,April Lewis,,,,Linda Mata-Icart,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,"Michelle Slade, D.D.S., Inc.",77-0595456,5/8/2003,5/3/2021
86,San Dimas,San Dimas Dental Office,(909)592-5599,(909)599-1191,(909)221-5418,923 W Arrow Hwy,San Dimas,Los Angeles,CA,91773,Jeremy Guindi,,,,Linda Mata-Icart,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Hernandez and Zaklama Dental Corporation,33-0958377,9/29/2003,6/6/2022
